arm,update_center,mean,seed0,seed1,seed2,fitted_tail
stg-full,31250.5,0.04796449376642704,0.04834349014610052,0.04835029948502779,0.047199691668152806,0.048135362303761794
stg-full,31750.5,0.04806146902094285,0.04891208617389202,0.047748361244797706,0.047523959644138816,0.048092264971660706
stg-full,32250.5,0.04802692218373219,0.048819000646471974,0.04782637215405702,0.04743539375066757,0.048050187514733965
stg-full,32750.5,0.04833066995441914,0.04865350516885519,0.04845966227352619,0.047878842420876026,0.04800909053970608
stg-full,33250.5,0.048123672718803086,0.04859615330398083,0.048116554781794545,0.04765831007063389,0.04796893674647818
stg-full,33750.5,0.048225934724013014,0.048865200832486154,0.04799065782874823,0.04782194551080465,0.04792969078743733
stg-full,34250.5,0.04762987650185824,0.04808191292732954,0.047603066906332966,0.047204649671912194,0.04789131913814496
stg-full,34750.5,0.04780732551217079,0.04816879660636186,0.047811071150004866,0.047442108780145646,0.04785378997833301
stg-full,35250.5,0.047614712995787456,0.047961022444069384,0.047903462402522565,0.04697965414077043,0.04781707308225112
stg-full,35750.5,0.047852827591200665,0.048787695631384846,0.047639629513025285,0.04713115762919187,0.04778113971750918
stg-full,36250.5,0.047937722985943156,0.04878728492558002,0.04783096357434988,0.047194920457899574,0.04774596255164855
stg-full,36750.5,0.047576153139273325,0.04793928680568933,0.047599677078425884,0.04718949553370476,0.047711515565754106
stg-full,37250.5,0.047815530588229495,0.0482761959284544,0.04776412080228329,0.047406275033950805,0.047677773974488705
stg-full,37750.5,0.04770228607207536,0.04827744574099779,0.0479045509621501,0.04692486151307821,0.047644714151993714
stg-full,38250.5,0.047467696997026604,0.048098351165652274,0.04728600542992353,0.047018734395504,0.04761231356315396
stg-full,38750.5,0.04766284128775199,0.048249360159039495,0.04765792946517468,0.04708123423904181,0.0475805506997743
stg-full,39250.5,0.04769699516395728,0.04838182968646288,0.047719856120646,0.04698929968476295,0.04754940502125866
stg-full,39750.5,0.04760414762049914,0.04824533248692751,0.04748559595644474,0.04708151441812515,0.04751885689942094
stg-full,40250.5,0.04741435849914948,0.0481115193888545,0.04724933063238859,0.046882225476205346,0.04748888756709231
stg-full,40750.5,0.047253988757729536,0.047679146334528924,0.047316287003457545,0.046766532935202124,0.04745947907022003
stg-full,41250.5,0.047586276019612954,0.048228013820946214,0.04710577153414488,0.04742504270374775,0.047430614223181164
stg-full,41750.5,0.047616152015825114,0.04835652780532837,0.0474003436639905,0.04709158457815647,0.04740227656705933
stg-full,42250.5,0.04728507287055254,0.04829996743053198,0.046940715588629243,0.0466145355924964,0.04737445033065522
stg-full,42750.5,0.047471185194949306,0.04809521834552288,0.04741152087599039,0.04690681636333466,0.047347120394021724
stg-full,43250.5,0.04743509430686632,0.048023206926882264,0.04715465676039457,0.04712741923332214,0.047320272254332975
stg-full,43750.5,0.047244397717217605,0.047866551116108894,0.04682305208593607,0.04704358994960785,0.047293891993912665
stg-full,44250.5,0.047302472978830334,0.04785836478322744,0.04720750196278095,0.04684155219048262,0.04726796625026235
stg-full,44750.5,0.04727013928443193,0.0478688466027379,0.04668263255804777,0.047258938692510126,0.04724248218794342
